id;cue;sector;nombre;nro_escuela
462;2202289;Estatal;P.E. ESJA - PROGRAMA DE TERMINALIDAD EDUCATIVA;
463;2202305;Privado;U.E.G.P Nº 172 (UEP Nº 172) GOBERNADOR DEOLINDO FELIPE BITTEL;172
464;2202339;Privado;U.E.G.P Nº 173 (UEP Nº 173) ENFERMERO CARLOS C. ROMERO U.P.C.P.;173
465;2202473;Gestión social/cooperativa;E.P.G.S. Nº 2 (EPA);2
466;2202495;Gestión social/cooperativa;E.P.G.S. Nº 4 (EPA);4
467;2202498;Estatal;P.E. ESJA - MOVIMIENTO OBRERO SOLIDARIO;
468;2202506;Privado;U.E.G.P Nº 93 (UEP Nº 93) C.E.A;93
469;2202517;Privado;U.E.G.P Nº 114 (BLA) - UNIVERSIDAD POPULAR DE RESISTENCIA;114
470;2202535;Privado;U.E.G.P Nº 199 (UEP Nº 199) INSTITUTO SUPERIOR ARANDU;199
471;2202545;Estatal;P.E. ESJA - SINDICATO DE TRABAJADORES MUNICIPALES;
472;2202564;Privado;U.E.G.P Nº 200 - FUNDACION DEPORTIVO SOCIAL CHACO;200
473;2202587;Estatal;P.E. ESJA - MIGUEL ANGEL BENJAMIN;
474;2202605;Gestión social/cooperativa;P.E. ESJA BILINGUE INTERCULTURAL - CACIQUE PELAYO;
475;2202607;Estatal;P.E. ESJA - SINDICATO DE TRABAJADORES DE CORREO Y TELECOMUNICACIONES DEL CHACO;
476;2202636;Estatal;P.E. ESJA - ASESCH;
477;2202679;Gestión social/cooperativa;E.P.G.S. Nº 6 -CARLOS ARMANDO ROLON (EX P-E BLA ZONA SUR);
